rank,config_id,border_fraction,min_line_fraction,max_gap_fraction,hough_threshold,angle_tolerance,cluster_distance,interval_gap,min_support_fraction,relative_score,max_edges,total_images,correct_images,accuracy_percent,mean_absolute_band_error,zero_edge_images,under_count_images,over_count_images
1,C0353,0.04,0.18,0.06,25,8.0,7.0,6.0,0.25,0.35,6,15,3,20.0,0.6333333333333333,4,11,1
2,C0354,0.04,0.18,0.06,25,8.0,7.0,6.0,0.25,0.45,6,15,3,20.0,0.6333333333333333,4,11,1
3,C0357,0.04,0.18,0.06,25,8.0,7.0,12.0,0.25,0.35,6,15,3,20.0,0.6333333333333333,4,11,1
4,C0358,0.04,0.18,0.06,25,8.0,7.0,12.0,0.25,0.45,6,15,3,20.0,0.6333333333333333,4,11,1
5,C0377,0.04,0.18,0.06,25,12.0,7.0,6.0,0.25,0.35,6,15,3,20.0,0.6333333333333333,4,11,1
6,C0378,0.04,0.18,0.06,25,12.0,7.0,6.0,0.25,0.45,6,15,3,20.0,0.6333333333333333,4,11,1
7,C0381,0.04,0.18,0.06,25,12.0,7.0,12.0,0.25,0.35,6,15,3,20.0,0.6333333333333333,4,11,1
8,C0382,0.04,0.18,0.06,25,12.0,7.0,12.0,0.25,0.45,6,15,3,20.0,0.6333333333333333,4,11,1
9,C0210,0.04,0.18,0.05,20,8.0,7.0,6.0,0.25,0.45,6,15,3,20.0,0.6666666666666666,5,11,1
10,C0214,0.04,0.18,0.05,20,8.0,7.0,12.0,0.25,0.45,6,15,3,20.0,0.6666666666666666,5,11,1
11,C0234,0.04,0.18,0.05,20,12.0,7.0,6.0,0.25,0.45,6,15,3,20.0,0.6666666666666666,5,11,1
12,C0238,0.04,0.18,0.05,20,12.0,7.0,12.0,0.25,0.45,6,15,3,20.0,0.6666666666666666,5,11,1
13,C0641,0.04,0.22,0.05,25,8.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.6666666666666666,4,12,1
14,C0645,0.04,0.22,0.05,25,8.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.6666666666666666,4,12,1
15,C0665,0.04,0.22,0.05,25,12.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.6666666666666666,4,12,1
16,C0669,0.04,0.22,0.05,25,12.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.6666666666666666,4,12,1
17,C0346,0.04,0.18,0.06,25,8.0,5.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.6666666666666666,4,11,2
18,C0350,0.04,0.18,0.06,25,8.0,5.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.6666666666666666,4,11,2
19,C0370,0.04,0.18,0.06,25,12.0,5.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.6666666666666666,4,11,2
20,C0374,0.04,0.18,0.06,25,12.0,5.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.6666666666666666,4,11,2
21,C0738,0.04,0.22,0.06,25,8.0,7.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.6666666666666666,4,11,2
22,C0742,0.04,0.22,0.06,25,8.0,7.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.6666666666666666,4,11,2
23,C0762,0.04,0.22,0.06,25,12.0,7.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.6666666666666666,4,11,2
24,C0766,0.04,0.22,0.06,25,12.0,7.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.6666666666666666,4,11,2
25,C0355,0.04,0.18,0.06,25,8.0,7.0,6.0,0.3,0.35,6,15,2,13.333333333333334,0.7,5,12,1
26,C0356,0.04,0.18,0.06,25,8.0,7.0,6.0,0.3,0.45,6,15,2,13.333333333333334,0.7,5,12,1
27,C0359,0.04,0.18,0.06,25,8.0,7.0,12.0,0.3,0.35,6,15,2,13.333333333333334,0.7,5,12,1
28,C0360,0.04,0.18,0.06,25,8.0,7.0,12.0,0.3,0.45,6,15,2,13.333333333333334,0.7,5,12,1
29,C0379,0.04,0.18,0.06,25,12.0,7.0,6.0,0.3,0.35,6,15,2,13.333333333333334,0.7,5,12,1
30,C0380,0.04,0.18,0.06,25,12.0,7.0,6.0,0.3,0.45,6,15,2,13.333333333333334,0.7,5,12,1
31,C0383,0.04,0.18,0.06,25,12.0,7.0,12.0,0.3,0.35,6,15,2,13.333333333333334,0.7,5,12,1
32,C0384,0.04,0.18,0.06,25,12.0,7.0,12.0,0.3,0.45,6,15,2,13.333333333333334,0.7,5,12,1
33,C0209,0.04,0.18,0.05,20,8.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7,5,11,2
34,C0213,0.04,0.18,0.05,20,8.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7,5,11,2
35,C0233,0.04,0.18,0.05,20,12.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7,5,11,2
36,C0237,0.04,0.18,0.05,20,12.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7,5,11,2
37,C0345,0.04,0.18,0.06,25,8.0,5.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7,4,11,2
38,C0349,0.04,0.18,0.06,25,8.0,5.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7,4,11,2
39,C0754,0.04,0.22,0.06,25,12.0,5.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7,4,11,2
40,C0758,0.04,0.22,0.06,25,12.0,5.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7,4,11,2
41,C0097,0.04,0.18,0.04,20,8.0,3.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
42,C0098,0.04,0.18,0.04,20,8.0,3.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
43,C0101,0.04,0.18,0.04,20,8.0,3.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
44,C0102,0.04,0.18,0.04,20,8.0,3.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
45,C0105,0.04,0.18,0.04,20,8.0,5.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
46,C0106,0.04,0.18,0.04,20,8.0,5.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
47,C0109,0.04,0.18,0.04,20,8.0,5.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
48,C0110,0.04,0.18,0.04,20,8.0,5.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
49,C0113,0.04,0.18,0.04,20,8.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
50,C0114,0.04,0.18,0.04,20,8.0,7.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
51,C0117,0.04,0.18,0.04,20,8.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
52,C0118,0.04,0.18,0.04,20,8.0,7.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
53,C0121,0.04,0.18,0.04,20,12.0,3.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
54,C0122,0.04,0.18,0.04,20,12.0,3.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
55,C0125,0.04,0.18,0.04,20,12.0,3.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
56,C0126,0.04,0.18,0.04,20,12.0,3.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
57,C0129,0.04,0.18,0.04,20,12.0,5.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
58,C0130,0.04,0.18,0.04,20,12.0,5.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
59,C0133,0.04,0.18,0.04,20,12.0,5.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
60,C0134,0.04,0.18,0.04,20,12.0,5.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
61,C0137,0.04,0.18,0.04,20,12.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
62,C0138,0.04,0.18,0.04,20,12.0,7.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
63,C0141,0.04,0.18,0.04,20,12.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
64,C0142,0.04,0.18,0.04,20,12.0,7.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,6,12,1
65,C0282,0.04,0.18,0.05,25,12.0,7.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,4,11,2
66,C0286,0.04,0.18,0.05,25,12.0,7.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,4,11,2
67,C0730,0.04,0.22,0.06,25,8.0,5.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,4,11,2
68,C0734,0.04,0.22,0.06,25,8.0,5.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7333333333333333,4,11,2
69,C0490,0.04,0.22,0.04,20,8.0,5.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7666666666666667,8,12,1
70,C0494,0.04,0.22,0.04,20,8.0,5.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7666666666666667,8,12,1
71,C0257,0.04,0.18,0.05,25,8.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
72,C0258,0.04,0.18,0.05,25,8.0,7.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
73,C0261,0.04,0.18,0.05,25,8.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
74,C0262,0.04,0.18,0.05,25,8.0,7.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
75,C0281,0.04,0.18,0.05,25,12.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
76,C0285,0.04,0.18,0.05,25,12.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
77,C0369,0.04,0.18,0.06,25,12.0,5.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
78,C0373,0.04,0.18,0.06,25,12.0,5.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
79,C0706,0.04,0.22,0.06,20,12.0,5.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7666666666666667,5,11,2
80,C0710,0.04,0.22,0.06,20,12.0,5.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7666666666666667,5,11,2
81,C0714,0.04,0.22,0.06,20,12.0,7.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.7666666666666667,5,11,2
82,C0718,0.04,0.22,0.06,20,12.0,7.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.7666666666666667,5,11,2
83,C0729,0.04,0.22,0.06,25,8.0,5.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
84,C0733,0.04,0.22,0.06,25,8.0,5.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
85,C0737,0.04,0.22,0.06,25,8.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
86,C0741,0.04,0.22,0.06,25,8.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
87,C0753,0.04,0.22,0.06,25,12.0,5.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
88,C0757,0.04,0.22,0.06,25,12.0,5.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
89,C0761,0.04,0.22,0.06,25,12.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
90,C0765,0.04,0.22,0.06,25,12.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.7666666666666667,4,11,2
91,C0489,0.04,0.22,0.04,20,8.0,5.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.8,8,12,1
92,C0493,0.04,0.22,0.04,20,8.0,5.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.8,8,12,1
93,C0497,0.04,0.22,0.04,20,8.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.8,8,12,1
94,C0498,0.04,0.22,0.04,20,8.0,7.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.8,8,12,1
95,C0501,0.04,0.22,0.04,20,8.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.8,8,12,1
96,C0502,0.04,0.22,0.04,20,8.0,7.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.8,8,12,1
97,C0681,0.04,0.22,0.06,20,8.0,5.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.8,5,11,2
98,C0682,0.04,0.22,0.06,20,8.0,5.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.8,5,11,2
99,C0685,0.04,0.22,0.06,20,8.0,5.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.8,5,11,2
100,C0686,0.04,0.22,0.06,20,8.0,5.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.8,5,11,2
101,C0689,0.04,0.22,0.06,20,8.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.8,5,11,2
102,C0690,0.04,0.22,0.06,20,8.0,7.0,6.0,0.25,0.45,6,15,2,13.333333333333334,0.8,5,11,2
103,C0693,0.04,0.22,0.06,20,8.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.8,5,11,2
104,C0694,0.04,0.22,0.06,20,8.0,7.0,12.0,0.25,0.45,6,15,2,13.333333333333334,0.8,5,11,2
105,C0705,0.04,0.22,0.06,20,12.0,5.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.8,5,11,2
106,C0709,0.04,0.22,0.06,20,12.0,5.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.8,5,11,2
107,C0713,0.04,0.22,0.06,20,12.0,7.0,6.0,0.25,0.35,6,15,2,13.333333333333334,0.8,5,11,2
108,C0717,0.04,0.22,0.06,20,12.0,7.0,12.0,0.25,0.35,6,15,2,13.333333333333334,0.8,5,11,2
109,C0642,0.04,0.22,0.05,25,8.0,7.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7,4,13,1
110,C0646,0.04,0.22,0.05,25,8.0,7.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7,4,13,1
111,C0666,0.04,0.22,0.05,25,12.0,7.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7,4,13,1
112,C0670,0.04,0.22,0.05,25,12.0,7.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7,4,13,1
113,C0626,0.04,0.22,0.05,25,8.0,3.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7,4,12,2
114,C0630,0.04,0.22,0.05,25,8.0,3.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7,4,12,2
115,C0633,0.04,0.22,0.05,25,8.0,5.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.7,4,12,2
116,C0637,0.04,0.22,0.05,25,8.0,5.0,12.0,0.25,0.35,6,15,1,6.666666666666667,0.7,4,12,2
117,C0650,0.04,0.22,0.05,25,12.0,3.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7,4,12,2
118,C0654,0.04,0.22,0.05,25,12.0,3.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7,4,12,2
119,C0657,0.04,0.22,0.05,25,12.0,5.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.7,4,12,2
120,C0661,0.04,0.22,0.05,25,12.0,5.0,12.0,0.25,0.35,6,15,1,6.666666666666667,0.7,4,12,2
121,C0202,0.04,0.18,0.05,20,8.0,5.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,12,2
122,C0206,0.04,0.18,0.05,20,8.0,5.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,12,2
123,C0226,0.04,0.18,0.05,20,12.0,5.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,12,2
124,C0230,0.04,0.18,0.05,20,12.0,5.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,12,2
125,C0348,0.04,0.18,0.06,25,8.0,5.0,6.0,0.3,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,12,2
126,C0352,0.04,0.18,0.06,25,8.0,5.0,12.0,0.3,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,12,2
127,C0372,0.04,0.18,0.06,25,12.0,5.0,6.0,0.3,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,12,2
128,C0376,0.04,0.18,0.06,25,12.0,5.0,12.0,0.3,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,12,2
129,C0194,0.04,0.18,0.05,20,8.0,3.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,11,3
130,C0198,0.04,0.18,0.05,20,8.0,3.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,11,3
131,C0218,0.04,0.18,0.05,20,12.0,3.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,11,3
132,C0222,0.04,0.18,0.05,20,12.0,3.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,5,11,3
133,C0242,0.04,0.18,0.05,25,8.0,3.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,4,11,3
134,C0246,0.04,0.18,0.05,25,8.0,3.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,4,11,3
135,C0338,0.04,0.18,0.06,25,8.0,3.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,4,10,4
136,C0342,0.04,0.18,0.06,25,8.0,3.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,4,10,4
137,C0362,0.04,0.18,0.06,25,12.0,3.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,4,10,4
138,C0366,0.04,0.18,0.06,25,12.0,3.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7333333333333333,4,10,4
139,C0306,0.04,0.18,0.06,20,8.0,7.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7666666666666667,5,12,2
140,C0310,0.04,0.18,0.06,20,8.0,7.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7666666666666667,5,12,2
141,C0347,0.04,0.18,0.06,25,8.0,5.0,6.0,0.3,0.35,6,15,1,6.666666666666667,0.7666666666666667,5,12,2
142,C0351,0.04,0.18,0.06,25,8.0,5.0,12.0,0.3,0.35,6,15,1,6.666666666666667,0.7666666666666667,5,12,2
143,C0594,0.04,0.22,0.05,20,8.0,7.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7666666666666667,6,12,2
144,C0598,0.04,0.22,0.05,20,8.0,7.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7666666666666667,6,12,2
145,C0201,0.04,0.18,0.05,20,8.0,5.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.7666666666666667,5,11,3
146,C0205,0.04,0.18,0.05,20,8.0,5.0,12.0,0.25,0.35,6,15,1,6.666666666666667,0.7666666666666667,5,11,3
147,C0225,0.04,0.18,0.05,20,12.0,5.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.7666666666666667,5,11,3
148,C0229,0.04,0.18,0.05,20,12.0,5.0,12.0,0.25,0.35,6,15,1,6.666666666666667,0.7666666666666667,5,11,3
149,C0274,0.04,0.18,0.05,25,12.0,5.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7666666666666667,4,11,3
150,C0278,0.04,0.18,0.05,25,12.0,5.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7666666666666667,4,11,3
151,C0746,0.04,0.22,0.06,25,12.0,3.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.7666666666666667,4,11,3
152,C0750,0.04,0.22,0.06,25,12.0,3.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.7666666666666667,4,11,3
153,C0337,0.04,0.18,0.06,25,8.0,3.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.7666666666666667,4,10,4
154,C0341,0.04,0.18,0.06,25,8.0,3.0,12.0,0.25,0.35,6,15,1,6.666666666666667,0.7666666666666667,4,10,4
155,C0298,0.04,0.18,0.06,20,8.0,5.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.8,5,12,2
156,C0302,0.04,0.18,0.06,20,8.0,5.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.8,5,12,2
157,C0593,0.04,0.22,0.05,20,8.0,7.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.8,6,12,2
158,C0597,0.04,0.22,0.05,20,8.0,7.0,12.0,0.25,0.35,6,15,1,6.666666666666667,0.8,6,12,2
159,C0618,0.04,0.22,0.05,20,12.0,7.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.8,6,12,2
160,C0622,0.04,0.22,0.05,20,12.0,7.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.8,6,12,2
161,C0740,0.04,0.22,0.06,25,8.0,7.0,6.0,0.3,0.45,6,15,1,6.666666666666667,0.8,7,12,2
162,C0744,0.04,0.22,0.06,25,8.0,7.0,12.0,0.3,0.45,6,15,1,6.666666666666667,0.8,7,12,2
163,C0764,0.04,0.22,0.06,25,12.0,7.0,6.0,0.3,0.45,6,15,1,6.666666666666667,0.8,7,12,2
164,C0768,0.04,0.22,0.06,25,12.0,7.0,12.0,0.3,0.45,6,15,1,6.666666666666667,0.8,7,12,2
165,C0241,0.04,0.18,0.05,25,8.0,3.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.8,4,11,3
166,C0245,0.04,0.18,0.05,25,8.0,3.0,12.0,0.25,0.35,6,15,1,6.666666666666667,0.8,4,11,3
167,C0249,0.04,0.18,0.05,25,8.0,5.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.8,4,11,3
168,C0250,0.04,0.18,0.05,25,8.0,5.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.8,4,11,3
169,C0253,0.04,0.18,0.05,25,8.0,5.0,12.0,0.25,0.35,6,15,1,6.666666666666667,0.8,4,11,3
170,C0254,0.04,0.18,0.05,25,8.0,5.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.8,4,11,3
171,C0265,0.04,0.18,0.05,25,12.0,3.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.8,4,11,3
172,C0266,0.04,0.18,0.05,25,12.0,3.0,6.0,0.25,0.45,6,15,1,6.666666666666667,0.8,4,11,3
173,C0269,0.04,0.18,0.05,25,12.0,3.0,12.0,0.25,0.35,6,15,1,6.666666666666667,0.8,4,11,3
174,C0270,0.04,0.18,0.05,25,12.0,3.0,12.0,0.25,0.45,6,15,1,6.666666666666667,0.8,4,11,3
175,C0273,0.04,0.18,0.05,25,12.0,5.0,6.0,0.25,0.35,6,15,1,6.666666666666667,0.8,4,11,3
